"x","y","group"
436.6,545.6,"case"
423.4,564,"case"
431.6,556.5,"case"
413.9,516.7,"case"
434.3,571.9,"case"
416.5,535.6,"case"
427.5,550.7,"case"
419.3,585.3,"case"
437,554,"case"
419.2,566.8,"case"
426.4,569,"case"
428.2,571.1,"case"
433.2,563.6,"case"
425.2,563.1,"case"
428.9,560.1,"case"
384,555.9,"case"
424.1,539.1,"case"
434.1,571.6,"case"
423.9,570.4,"case"
426,564.4,"case"
441.8,549.6,"case"
435.8,559.4,"case"
425.4,585.2,"case"
426,561.7,"case"
438.6,563.6,"case"
404.8,564.1,"case"
417.8,567,"case"
426.7,567.3,"case"
427.3,568.5,"case"
427,559.4,"case"
431.1,554.5,"case"
429,581.8,"case"
435.9,571.8,"case"
422.8,553.5,"case"
422.8,569.3,"case"
429.5,571.9,"case"
428.6,560.2,"case"
425.9,554.7,"case"
428.4,574.3,"case"
428.3,564.7,"case"
433.6,562,"case"
415.7,558.4,"case"
426.6,544.4,"case"
423.5,531,"case"
421.2,544.8,"case"
415.3,630.2,"case"
431.2,554.7,"case"
417.9,562.9,"case"
421.9,567.1,"case"
415.9,564,"case"
439.3,540.1,"case"
421.8,565,"case"
431.7,567.5,"case"
430.2,531.8,"case"
412.1,577.1,"case"
443.8,543.1,"case"
419.4,565.6,"case"
430.8,557.3,"case"
436.1,556.2,"case"
422.1,569.3,"case"
441.6,543.6,"case"
426.4,573.8,"case"
420,560.5,"case"
411.6,549.5,"case"
426.5,604.5,"case"
429,562.1,"case"
438.1,566.1,"case"
433.9,569.8,"case"
424.2,562.6,"case"
427.4,558.7,"case"
419.4,567.3,"case"
427.7,544.9,"case"
427.3,552.9,"case"
423.8,572.7,"case"
428.1,565.2,"case"
428.6,569.6,"case"
412.7,551.3,"case"
424.5,569.3,"case"
425.5,565,"case"
428.8,562.3,"case"
440.1,552.9,"case"
440.2,552.9,"case"
426.6,558.3,"case"
420.4,601.1,"case"
433.3,562.6,"case"
426.1,558.4,"case"
429.5,571.8,"case"
430.8,568.2,"case"
430.6,561.6,"case"
416.3,552.4,"case"
430,574,"case"
423.5,568.7,"case"
428.3,561.4,"case"
432.6,567.1,"case"
428.3,586.9,"case"
426.8,566.7,"case"
425.6,585,"case"
388.8,593,"case"
430.9,564,"case"
426.6,575.2,"case"
431.8,580.4,"case"
426,568.8,"case"
419.8,565.2,"case"
420.5,564.1,"case"
437.1,555.5,"case"
417.7,526.3,"case"
426.1,585.8,"case"
412.1,558.4,"case"
433.5,567.7,"case"
423.3,564.6,"case"
430.2,543.7,"case"
405.2,517.1,"case"
414.5,564.1,"case"
436.8,569.4,"case"
425.6,565,"case"
429.2,561.2,"case"
435.8,571.6,"case"
410.4,587.8,"case"
436,571,"case"
433.7,545.7,"case"
425.7,565.3,"case"
419.4,567.3,"case"
426.7,568.1,"case"
420.3,527.8,"case"
428.9,574.2,"case"
419.4,566.3,"case"
427.5,550.5,"case"
428,554.5,"case"
425.9,534.2,"case"
431.2,571.2,"case"
438.2,556.4,"case"
429.3,532.5,"case"
426.2,561,"case"
427.3,551.1,"case"
417.2,557,"case"
426.3,561.6,"case"
437.3,566.5,"case"
434.8,538.5,"case"
426.5,566.3,"case"
420.3,560.9,"case"
399,628,"case"
424.3,567.9,"case"
426.5,604.5,"case"
426,568.8,"case"
426.3,558.6,"case"
424.9,605.8,"case"
433.6,571.7,"case"
427.6,541.8,"case"
427.6,525.2,"case"
435.5,568,"case"
427.4,565.7,"case"
419.3,565.8,"case"
429.3,549.2,"case"
429.8,570.1,"case"
428.1,514.7,"case"
419.6,566.5,"case"
426.2,560.9,"case"
418.8,586.7,"case"
430.7,581.9,"case"
433.4,537,"case"
421.8,566,"case"
439.4,564.8,"case"
427.9,570.3,"case"
431.7,567.2,"case"
427.3,565.7,"case"
420.4,560.9,"case"
425.3,584,"case"
426.7,560.8,"case"
437.8,558.6,"case"
392.1,571.5,"case"
426.2,568.5,"case"
427.3,566.5,"case"
434.7,561.3,"case"
415.1,566.2,"case"
408.7,562.6,"case"
427.4,524.9,"case"
423,568.6,"case"
424.9,568.4,"case"
418.2,562.9,"case"
431,568.4,"case"
427.5,566.7,"case"
420.3,567.8,"case"
431,580,"case"
427.4,554,"case"
429,561.8,"case"
411.7,564.8,"case"
436.1,539.8,"case"
427.3,566.1,"case"
418.3,567.1,"case"
427.9,570.7,"case"
427.8,554.1,"case"
427.9,569.9,"case"
435.8,563.4,"case"
424.7,582,"case"
428.2,563.6,"case"
433.8,542.3,"case"
426.3,585.9,"case"
426.2,561.7,"case"
422.7,562.1,"case"
411.8,553.8,"case"
429,562.3,"case"
431,567.4,"case"
436.1,566.2,"case"
429.9,557.8,"case"
423.8,572.9,"case"
427,566.3,"case"
409.3,550.1,"case"
428.9,562.1,"case"
437.2,566.4,"case"
430.9,544.3,"case"
411.5,555.7,"case"
422.7,564,"case"
426.9,568.8,"case"
438.6,564.5,"case"
428.2,525.3,"case"
426.1,576.2,"case"
441.8,549.3,"case"
433.6,563.3,"case"
430.2,566.2,"case"
426.7,562.3,"case"
431.5,542.7,"case"
439.4,547.2,"case"
439.2,559.6,"case"
426.3,542.2,"case"
421.6,567.1,"case"
434.8,573.9,"case"
438.4,565.5,"case"
424.6,569,"case"
428.4,545.8,"case"
422.4,565,"case"
434.6,571.9,"case"
429.2,532.1,"case"
423.2,564.5,"case"
430.2,580.2,"case"
427.5,568.8,"case"
421.3,569.2,"case"
420.1,561.8,"case"
418.4,613.6,"case"
430.9,581.8,"case"
437.2,567.2,"case"
416.4,533.2,"case"
436.2,570.7,"case"
430.9,581.4,"case"
410.2,555.1,"case"
426.7,567,"case"
429.5,571.8,"case"
430.8,514.3,"case"
433.1,562,"case"
422.4,526.4,"case"
442.5,543.6,"case"
432.4,566.4,"case"
416.1,552.3,"case"
434.1,572.1,"case"
427.5,558.9,"case"
433.1,542.2,"case"
428.8,586.4,"case"
430.7,544.2,"case"
420.6,565.6,"case"
382.3,564.1,"case"
413.2,563.2,"case"
435.2,571.1,"case"
436.1,570.4,"case"
416.7,556.7,"case"
430.6,564.1,"case"
434.1,562.1,"case"
422.5,567.6,"case"
429.2,515.9,"case"
422.6,568.3,"case"
429.4,581.1,"case"
427.4,571.3,"case"
429.8,566.1,"case"
420.1,528.9,"case"
435.6,570.3,"case"
420.3,561.4,"case"
386,577,"case"
433,543.8,"case"
430.9,576.8,"case"
434.1,568.7,"case"
433.5,550.7,"case"
429.9,566,"case"
423.8,565.5,"case"
438.7,553.7,"case"
425.5,551.3,"case"
439.8,554.3,"case"
432.2,567.9,"case"
428.1,524.9,"case"
416.7,534.8,"case"
435.4,558.7,"case"
427.5,564.7,"case"
436.4,565.4,"case"
439.3,559.2,"case"
428.9,515.2,"case"
425.9,568.7,"case"
429.4,581.5,"case"
426.5,565,"case"
432.5,535.4,"case"
427.6,552,"case"
423,561.8,"case"
434.1,563.3,"case"
427.8,564.5,"case"
426,564.4,"case"
420.1,560.9,"case"
427.5,551.6,"case"
428,554.2,"case"
428,528.7,"case"
415.8,573.1,"case"
425.7,564.3,"case"
430,575.5,"case"
422.6,563.5,"case"
429.1,564.5,"case"
423.1,561.3,"case"
435.4,556.9,"case"
434.5,563.1,"case"
433.2,550.5,"case"
416.1,566.2,"case"
426.2,565.9,"case"
421.4,565.4,"case"
432.4,535.2,"case"
436.3,564.7,"case"
420.8,551.4,"case"
439.5,556.2,"case"
418.5,566.5,"case"
428.1,565,"case"
428.9,566,"case"
426.8,567,"case"
399,628,"case"
427.9,569.9,"case"
415.1,564.3,"case"
434.1,568.1,"case"
430.7,541.5,"case"
426.8,564.6,"case"
425.6,565.2,"case"
427.7,559.3,"case"
430.9,581.2,"case"
416.1,573.4,"case"
418.3,526.1,"case"
425.6,566.6,"case"
426.9,571.6,"case"
418.9,567,"case"
428.2,564.6,"case"
424.6,601.5,"case"
426.5,565.1,"case"
423.7,563.5,"case"
423.9,573.6,"case"
427.4,524.4,"case"
421.1,566.7,"case"
418.2,566.3,"case"
419.2,564.8,"case"
429.5,567.6,"case"
414.8,546.7,"case"
426.1,560.5,"case"
426.9,575.8,"case"
436.4,571,"case"
417.3,563.9,"case"
423.4,567.2,"case"
429,570.1,"case"
420.4,544.9,"case"
416.9,551.4,"case"
425.4,559.2,"case"
426.4,567.4,"case"
425.9,561.9,"case"
439.2,540.2,"case"
426.1,558.4,"case"
412,557.8,"case"
425.1,561.3,"case"
422.6,562.6,"case"
430.7,534.3,"case"
420.5,567.6,"case"
429,532.8,"case"
425.9,569,"case"
441.1,552.4,"case"
426.7,569,"case"
421.2,567.3,"case"
419.6,552.1,"case"
425.7,581.7,"case"
420.3,567.7,"case"
420.8,566.5,"case"
437.6,566.6,"case"
394.5,650.7,"case"
422.9,567,"case"
426.5,568.7,"case"
425.1,562.9,"case"
427,576.8,"case"
436,558.2,"case"
427.9,513.9,"case"
431.5,580.7,"case"
429,563.6,"case"
420.5,567.5,"case"
420.5,566,"case"
435,573.4,"case"
436.4,546.1,"case"
427.1,565,"case"
426.8,564.7,"case"
409.8,562.6,"case"
422.9,561.5,"case"
419.8,585.4,"case"
439.6,564.9,"case"
413.6,563.8,"case"
425.3,540,"case"
423.4,526.7,"case"
415.8,564.3,"case"
424.6,568.9,"case"
443.1,540.8,"case"
424.1,573.2,"case"
423.6,565.5,"case"
440.4,556.2,"case"
430.9,567.4,"case"
431.1,580.6,"case"
415.3,528.2,"case"
420.5,564.5,"case"
428.4,569.5,"case"
428.8,560.4,"case"
421.3,565.1,"case"
393.5,563.8,"case"
438.1,563.3,"case"
419.4,565.9,"case"
421.9,563.8,"case"
426.2,541.6,"case"
435.9,546.3,"case"
423.2,542.8,"case"
425.2,585.1,"case"
399,628,"case"
428.2,560.3,"case"
424.7,581.7,"case"
414.3,562.2,"case"
435.1,548.1,"case"
418.5,566.1,"case"
425.7,564.9,"case"
430.8,557.3,"case"
414.1,563.9,"case"
416.2,573.6,"case"
438.3,553.8,"case"
425.7,569.7,"case"
435.7,554.9,"case"
417.5,561.7,"case"
389,567.9,"case"
431,534.1,"case"
427.6,552,"case"
420.9,562,"case"
428,561.8,"case"
431.6,581.4,"case"
436.8,559.3,"case"
427.6,525.5,"case"
420.5,567.5,"case"
426.7,561.2,"case"
441.6,541.3,"control"
436,572,"control"
413.9,559.7,"control"
424.8,577,"control"
423.2,564.3,"control"
416.1,552.3,"control"
411.6,539,"control"
443.8,540.9,"control"
427,604,"control"
427.7,551.9,"control"
440.9,552.8,"control"
427,552.4,"control"
427.7,525,"control"
426.9,534.3,"control"
428.3,561.8,"control"
420.9,529.9,"control"
408.2,594,"control"
423.3,561.8,"control"
422.9,574,"control"
435.2,570.4,"control"
423.9,573.4,"control"
392.3,647.8,"control"
437,569.4,"control"
438.6,563.8,"control"
405.3,515.8,"control"
424.5,577.5,"control"
429.1,564.5,"control"
431.1,563.2,"control"
436.3,558.8,"control"
435.7,572.3,"control"
440.1,554.9,"control"
388.8,586.6,"control"
419,543.7,"control"
430.4,514.3,"control"
427.2,516.5,"control"
433.6,562.1,"control"
428.4,558.2,"control"
404.7,516.4,"control"
432.2,563.6,"control"
440.9,562,"control"
424.9,564.8,"control"
423.2,528,"control"
426.4,570.5,"control"
426.6,515.8,"control"
432.1,567.9,"control"
428.8,564.7,"control"
433,531.3,"control"
430.2,566.3,"control"
393.4,633.7,"control"
370.3,564.4,"control"
418.4,526.1,"control"
443.7,541.5,"control"
421.3,566.1,"control"
430.3,575.2,"control"
418.5,600.7,"control"
436.8,562.9,"control"
428.2,542.6,"control"
426.5,533.7,"control"
437.9,539.3,"control"
432.2,562.8,"control"
437.5,556.8,"control"
410.9,551.7,"control"
384.7,582.3,"control"
429,564.4,"control"
425.5,583.4,"control"
426.7,515.6,"control"
427.8,571.2,"control"
429.5,562.3,"control"
426.8,569,"control"
433.2,566.4,"control"
438.8,547.4,"control"
424.2,560.7,"control"
423.1,562.3,"control"
420,564,"control"
411,634,"control"
426.8,560.7,"control"
421.6,550.5,"control"
395.7,555.9,"control"
436.1,552.6,"control"
437.5,559.4,"control"
427.2,551.5,"control"
436.8,535.8,"control"
432.5,564.2,"control"
433.7,568.8,"control"
426.5,551.4,"control"
429,562.1,"control"
423.4,520.9,"control"
416.3,534,"control"
443.4,541.8,"control"
419.8,585.9,"control"
425.6,553.6,"control"
399.1,551.5,"control"
422.5,561.5,"control"
440.5,555.7,"control"
443.1,540.3,"control"
420.9,528.1,"control"
422.6,572.5,"control"
384.5,564.4,"control"
418.7,584.9,"control"
420.3,585.1,"control"
419.3,565.3,"control"
430.3,510.6,"control"
428.7,525.1,"control"
414.9,596.4,"control"
424.2,562.2,"control"
427.6,552.3,"control"
426.8,571.9,"control"
441.7,549.6,"control"
423.1,525.6,"control"
436.1,554.1,"control"
438.2,559.3,"control"
439.5,555.2,"control"
428.3,525.3,"control"
429,564.6,"control"
426.1,544.1,"control"
438.7,558.4,"control"
436.8,569.4,"control"
427.7,515.2,"control"
419.4,551.8,"control"
404.8,564.1,"control"
429,529.5,"control"
422.7,587.4,"control"
398.8,652.8,"control"
430,562.6,"control"
424.8,564.1,"control"
408.5,563.8,"control"
433.5,562.6,"control"
433.5,569.1,"control"
431.4,580.7,"control"
430.9,587.6,"control"
425.6,563,"control"
422.4,562.2,"control"
430.4,580.6,"control"
414.1,559.2,"control"
387.8,635.9,"control"
438.5,558.6,"control"
422.1,567.4,"control"
424.7,564.1,"control"
407.5,548.3,"control"
427.6,525,"control"
407,574.7,"control"
438.3,553.3,"control"
420.7,527.8,"control"
426.4,515,"control"
431.9,536.2,"control"
409.6,551.7,"control"
416.3,533.5,"control"
438.4,562.4,"control"
424.2,568.3,"control"
425.6,563.1,"control"
404.7,516.8,"control"
427.4,551.2,"control"
442.9,540.6,"control"
392.8,564.4,"control"
436,566.2,"control"
430.4,555.5,"control"
396,566.7,"control"
436.7,567,"control"
426.5,564.1,"control"
430,579.5,"control"
428.2,564.7,"control"
440.6,562.3,"control"
432.7,553.3,"control"
440,560,"control"
443.9,541,"control"
393.3,564.2,"control"
411.7,556.8,"control"
436.5,561.2,"control"
418.5,613.4,"control"
429,513.7,"control"
429,554.2,"control"
418.6,553.9,"control"
437.4,554.6,"control"
426.1,542.5,"control"
418.4,613.2,"control"
432,546.6,"control"
430.6,513.8,"control"
399.3,564.5,"control"
438.6,557.2,"control"
436.5,532.8,"control"
421.4,544.3,"control"
436.9,567,"control"
427.5,561.7,"control"
437.9,558.9,"control"
425.2,560.5,"control"
433,569.4,"control"
411.7,565,"control"
410.7,619.4,"control"
436.4,555.2,"control"
425.9,559.5,"control"
420.8,585.1,"control"
427.9,556,"control"
439.2,559.6,"control"
414,559.9,"control"
425.5,533.9,"control"
405.7,601.6,"control"
398.6,564.5,"control"
428.5,565.4,"control"
420.3,562.5,"control"
420,585.7,"control"
430,556.3,"control"
419.5,534.4,"control"
427,544,"control"
425.9,561.9,"control"
424,624.6,"control"
425,564.3,"control"
416.7,551.7,"control"
424.9,568,"control"
425.6,566.2,"control"
392.8,564.3,"control"
431.1,564.2,"control"
425,553.3,"control"
434.3,573,"control"
437.5,566.3,"control"
436,555.5,"control"
391.8,558,"control"
422.9,562.3,"control"
419.8,527.3,"control"
420.8,567,"control"
429,574.3,"control"
412.1,538.8,"control"
417.1,562.6,"control"
428.3,564.1,"control"
419.4,578.2,"control"
380.3,596.6,"control"
420.6,529.8,"control"
428.6,515,"control"
421.7,564,"control"
419.9,562,"control"
436.8,566.1,"control"
428.5,563.3,"control"
440.5,553.5,"control"
429.1,566.1,"control"
431.6,581.4,"control"
438.2,555,"control"
427.4,522.1,"control"
438.9,564.9,"control"
436,565.6,"control"
439.7,557,"control"
410.8,551,"control"
370,563.6,"control"
430.1,554.2,"control"
435.6,556.3,"control"
434.7,561.7,"control"
434.6,572.7,"control"
421.6,567.4,"control"
389.5,528.9,"control"
417.8,565.2,"control"
425.1,560.1,"control"
420.6,527.4,"control"
426.1,533.7,"control"
438.8,556.4,"control"
426.6,558.4,"control"
440.6,555.5,"control"
429.3,561.4,"control"
434.6,513.1,"control"
418.4,553.9,"control"
440,556.8,"control"
440.6,563.5,"control"
416.3,555.4,"control"
428.7,515.7,"control"
435.7,570.6,"control"
410.6,551.1,"control"
417.1,551.2,"control"
429.3,517.1,"control"
426.9,550.2,"control"
427.5,577.1,"control"
430.4,531.2,"control"
419.7,568.1,"control"
436.9,569.8,"control"
437.2,566.2,"control"
427.5,514.1,"control"
425.4,551.5,"control"
439.5,556.4,"control"
428.9,554.9,"control"
426.4,573.8,"control"
429.2,561.6,"control"
438.2,557,"control"
435.7,561.2,"control"
429.3,591,"control"
422.3,562.4,"control"
421.5,566,"control"
417.8,563.6,"control"
416,533.4,"control"
421.4,585.7,"control"
430.5,580,"control"
438.1,535.9,"control"
432.5,552.7,"control"
427.4,571.2,"control"
434.7,570.2,"control"
435.1,572,"control"
422.8,598.4,"control"
434.6,561.7,"control"
391.4,630.1,"control"
426.9,542.4,"control"
392.7,563.6,"control"
400.1,652.7,"control"
440.2,554.4,"control"
430.9,567.4,"control"
393.4,604.6,"control"
429.1,567.5,"control"
430.9,587.9,"control"
442.7,549.4,"control"
439.7,555,"control"
388.2,575.7,"control"
427.3,560.6,"control"
429.3,564.2,"control"
412.7,552,"control"
427.6,582.7,"control"
403.2,536.8,"control"
430,561,"control"
436.3,567.2,"control"
424.1,556.6,"control"
425.3,565.2,"control"
404.1,629.5,"control"
434.9,572.7,"control"
423.3,558,"control"
427.1,542.4,"control"
436.6,565.6,"control"
427.5,515.3,"control"
429.7,514.2,"control"
419.5,535.3,"control"
431.4,515.5,"control"
427.4,551.8,"control"
392.2,593.5,"control"
419,542.1,"control"
409.9,616.2,"control"
426.7,573.8,"control"
428.2,555.4,"control"
390.6,563.4,"control"
409,555.4,"control"
427.3,515,"control"
428.9,514.6,"control"
435.3,568.4,"control"
421.4,528.2,"control"
409.1,552.7,"control"
433.8,569.4,"control"
425.3,551.9,"control"
431.1,570.2,"control"
418.7,564.5,"control"
422.3,529.3,"control"
429.7,561,"control"
439.5,546.9,"control"
399.9,652.8,"control"
431,581,"control"
437.6,562,"control"
433.5,562.6,"control"
425.3,533.6,"control"
426.5,558.9,"control"
430.5,580.9,"control"
439.4,540.6,"control"
430.7,543,"control"
422,568.4,"control"
415.8,521.6,"control"
434.9,568.6,"control"
429,515,"control"
423.7,529.8,"control"
431.3,581.7,"control"
428.2,542.7,"control"
427.9,553.3,"control"
430.2,570.4,"control"
427,564.9,"control"
415.2,590.5,"control"
393.8,567.8,"control"
432.2,542.5,"control"
427,516.8,"control"
428.8,541.8,"control"
434.4,572,"control"
411.8,549.8,"control"
427.5,576.9,"control"
432.4,563.1,"control"
420,535.3,"control"
442.3,539.6,"control"
430.7,513,"control"
438.8,556.6,"control"
393.5,564,"control"
411.4,558.2,"control"
426.2,568.2,"control"
429.3,513.7,"control"
433,577,"control"
415.6,524.8,"control"
433.6,567.7,"control"
437.1,556.6,"control"
423.9,517.6,"control"
427.3,556,"control"
442,539.8,"control"
413.4,565,"control"
438.1,556.9,"control"
427.6,586.9,"control"
427,542.3,"control"
431,513.9,"control"
428.4,569.3,"control"
435.1,570.4,"control"
434.2,568.9,"control"
436.4,567.2,"control"
436.8,555.6,"control"
435.3,557,"control"
417.4,520.5,"control"
420.8,551.4,"control"
411.1,634.5,"control"
411,532.9,"control"
424.2,563.8,"control"
425.2,567.8,"control"
413.1,564.8,"control"
430.9,581.8,"control"
421.2,532.9,"control"
422.1,566.8,"control"
434.5,573.4,"control"
427.2,587.7,"control"
426.4,550.5,"control"
424.4,567.8,"control"
425.2,582.2,"control"
428.2,587.4,"control"
419.4,565.6,"control"
417.7,566.7,"control"
424,542.1,"control"
435.9,568.8,"control"
424.1,540.1,"control"
394,646.5,"control"
429,515.5,"control"
426.3,562.3,"control"
439.4,547.2,"control"
403,571,"control"
423.4,568.4,"control"
423.6,560.7,"control"
419.7,567.8,"control"
432.7,566.4,"control"
422.5,526,"control"
419.1,634.5,"control"
422,563.7,"control"
409.3,552.2,"control"
427.2,515.2,"control"
423.7,580.4,"control"
435.4,559.1,"control"
424.1,580.3,"control"
418.7,547.7,"control"
420.6,528.4,"control"
427.7,515.3,"control"
425.9,531.4,"control"
427.2,554.2,"control"
417.1,554.4,"control"
424.9,562.9,"control"
436.8,569.2,"control"
416.8,564,"control"
440.1,556,"control"
424,539,"control"
428.7,530.2,"control"
